Date,Open,High,Low,Close,Adj Close,Volume
2022-11-16,69.949997,70.500000,67.699997,68.699997,68.699997,75425523
2022-11-17,68.400002,69.800003,67.500000,67.699997,67.699997,60115704
2022-11-18,68.150002,69.349998,66.900002,67.150002,67.150002,62855692
2022-11-21,66.400002,66.400002,63.799999,64.300003,64.300003,85998316
2022-11-22,64.900002,64.900002,63.299999,63.950001,63.950001,50715391
2022-11-23,63.500000,64.300003,61.400002,61.750000,61.750000,69815602
2022-11-24,62.299999,64.099998,62.049999,63.200001,63.200001,90679986
2022-11-25,64.000000,64.900002,63.049999,64.000000,64.000000,74237526
2022-11-28,64.250000,65.300003,63.799999,64.400002,64.400002,53453545
2022-11-29,64.400002,64.900002,63.000000,63.549999,63.549999,32230342
2022-11-30,63.000000,66.800003,61.900002,65.250000,65.250000,549718630
2022-12-01,66.500000,67.150002,65.400002,66.650002,66.650002,83610566
2022-12-02,66.750000,68.900002,66.500000,68.550003,68.550003,96262543
2022-12-05,68.849998,69.000000,65.000000,65.449997,65.449997,85107187
2022-12-06,64.750000,65.449997,64.449997,64.800003,64.800003,40042683
2022-12-07,65.099998,65.400002,64.099998,64.449997,64.449997,29775697
2022-12-08,64.800003,64.800003,63.650002,63.799999,63.799999,35341241
2022-12-09,64.199997,64.849998,63.900002,64.150002,64.150002,36490408
2022-12-12,64.150002,64.750000,63.599998,64.400002,64.400002,20602398
2022-12-13,64.800003,65.199997,64.349998,64.599998,64.599998,21917723
2022-12-14,64.849998,65.449997,64.599998,65.000000,65.000000,24599687
2022-12-15,64.949997,65.250000,63.799999,64.150002,64.150002,19011713
2022-12-16,63.750000,64.000000,61.849998,62.150002,62.150002,48220919
2022-12-19,62.400002,62.799999,62.000000,62.150002,62.150002,21470297
2022-12-20,62.099998,63.200001,61.900002,62.849998,62.849998,32487667
2022-12-21,63.200001,63.500000,60.849998,61.349998,61.349998,39979212
2022-12-22,61.799999,62.049999,58.549999,58.950001,58.950001,53936114
2022-12-23,58.299999,58.349998,53.200001,53.650002,53.650002,93022114
2022-12-26,53.950001,59.750000,53.450001,58.150002,58.150002,83571451
2022-12-27,59.400002,60.599998,58.500000,58.950001,58.950001,54205000
2022-12-28,58.500000,60.799999,57.849998,60.150002,60.150002,70502428
2022-12-29,59.500000,61.549999,59.000000,60.849998,60.849998,24973807
2022-12-30,61.000000,61.450001,59.000000,59.299999,59.299999,33251260
2023-01-02,60.650002,60.700001,59.799999,60.299999,60.299999,18759536
2023-01-03,58.849998,59.549999,57.299999,58.950001,58.950001,49702768
2023-01-04,58.400002,58.700001,56.000000,56.349998,56.349998,48975781
2023-01-05,56.950001,57.099998,55.599998,56.200001,56.200001,34448671
2023-01-06,56.200001,56.400002,54.950001,55.250000,55.250000,30272416
2023-01-09,56.000000,57.250000,55.750000,56.000000,56.000000,35490334
2023-01-10,56.000000,56.150002,53.799999,54.700001,54.700001,45966335
2023-01-11,55.000000,56.150002,54.099998,54.349998,54.349998,32626665
2023-01-12,54.700001,55.000000,52.950001,53.750000,53.750000,38856261
2023-01-13,54.099998,54.500000,53.049999,53.250000,53.250000,38735350
2023-01-16,54.000000,54.299999,52.500000,52.700001,52.700001,35892303
2023-01-17,53.000000,53.099998,50.000000,50.150002,50.150002,77122987
2023-01-18,50.400002,51.450001,48.849998,51.000000,51.000000,84541855
2023-01-19,50.299999,51.900002,50.049999,51.099998,51.099998,54523340
2023-01-20,51.400002,52.250000,50.549999,51.450001,51.450001,47355757
2023-01-23,51.900002,51.900002,50.650002,51.000000,51.000000,24658884
2023-01-24,51.000000,52.299999,50.650002,52.099998,52.099998,47720352
2023-01-25,52.000000,52.049999,44.349998,47.750000,47.750000,237764175
2023-01-27,49.000000,51.799999,46.700001,46.950001,46.950001,169788452
2023-01-30,47.900002,48.549999,46.700001,47.400002,47.400002,54376637
2023-01-31,48.000000,50.700001,46.450001,49.750000,49.750000,95398497
2023-02-01,50.000000,51.049999,47.049999,48.150002,48.150002,68752685
2023-02-02,48.400002,48.900002,47.150002,47.500000,47.500000,40751688
2023-02-03,48.150002,49.250000,47.700001,48.750000,48.750000,42497841
2023-02-06,48.700001,49.099998,47.549999,47.750000,47.750000,35956956
2023-02-07,48.000000,51.000000,47.599998,49.349998,49.349998,61077398
2023-02-08,51.200001,55.299999,51.099998,54.299999,54.299999,265595807
2023-02-09,54.700001,56.799999,53.400002,54.400002,54.400002,216398621
2023-02-10,52.700001,54.150002,50.700001,53.299999,53.299999,176950201
2023-02-13,53.000000,53.700001,51.250000,51.799999,51.799999,86162276
2023-02-14,51.799999,52.500000,49.900002,50.349998,50.349998,79395202
2023-02-15,50.549999,50.900002,49.799999,50.250000,50.250000,49655881
2023-02-16,50.799999,51.799999,50.450001,51.400002,51.400002,48841966
2023-02-17,51.250000,52.200001,50.700001,51.799999,51.799999,52862406
2023-02-20,51.900002,55.049999,51.750000,54.599998,54.599998,93315254
2023-02-21,54.599998,56.150002,54.400002,55.349998,55.349998,100106053
2023-02-22,54.849998,55.400002,52.599998,52.950001,52.950001,75802021
2023-02-23,53.000000,56.000000,52.799999,54.950001,54.950001,118058937
2023-02-24,55.500000,56.750000,54.000000,54.450001,54.450001,73440699
2023-02-27,54.700001,54.750000,53.200001,53.599998,53.599998,38735556
2023-02-28,53.700001,54.400002,53.000000,53.500000,53.500000,45414869
2023-03-01,53.500000,55.349998,53.349998,54.950001,54.950001,42854827
2023-03-02,54.750000,55.200001,54.349998,54.549999,54.549999,36256148
2023-03-03,54.900002,55.400002,53.200001,53.650002,53.650002,36943821
2023-03-06,54.000000,54.950001,53.700001,53.950001,53.950001,33492583
2023-03-08,53.450001,55.299999,52.650002,54.799999,54.799999,44159725
2023-03-09,55.099998,56.349998,53.900002,54.049999,54.049999,56021946
2023-03-10,53.799999,54.500000,53.299999,53.849998,53.849998,39226931
2023-03-13,53.950001,54.700001,51.599998,51.900002,51.900002,52374659
2023-03-14,52.000000,52.500000,50.200001,50.750000,50.750000,52247904
2023-03-15,51.500000,52.200001,50.549999,50.750000,50.750000,38763143
2023-03-16,50.900002,53.700001,49.849998,53.049999,53.049999,61237058
2023-03-17,53.450001,55.750000,53.049999,54.900002,54.900002,112918857
2023-03-20,53.599998,54.750000,52.200001,53.549999,53.549999,65578919
2023-03-21,53.849998,54.150002,52.650002,53.000000,53.000000,31632951
2023-03-22,53.400002,53.900002,52.700001,53.099998,53.099998,38444991
2023-03-23,52.900002,53.200001,52.099998,52.650002,52.650002,32816290
2023-03-24,52.500000,52.849998,50.150002,50.650002,50.650002,67243087
2023-03-27,50.700001,51.299999,49.250000,50.099998,50.099998,49618132
2023-03-28,50.200001,50.549999,49.000000,50.250000,50.250000,50426174
2023-03-29,50.250000,51.750000,49.599998,51.250000,51.250000,41464387
2023-03-31,51.250000,51.700001,50.650002,51.000000,51.000000,56566133
2023-04-03,51.500000,52.150002,50.900002,51.950001,51.950001,29241512
2023-04-05,52.099998,52.900002,51.549999,51.700001,51.700001,25497115
2023-04-06,51.750000,52.450001,51.299999,52.150002,52.150002,19695678
2023-04-10,52.150002,54.200001,51.799999,53.950001,53.950001,60655412
2023-04-11,54.650002,55.250000,53.250000,53.950001,53.950001,41101417
2023-04-12,54.250000,54.250000,52.900002,53.200001,53.200001,30848068
2023-04-13,53.200001,54.150002,52.849998,53.849998,53.849998,26646279
2023-04-17,54.200001,54.250000,53.000000,53.950001,53.950001,24787918
2023-04-18,54.049999,54.200001,53.049999,53.299999,53.299999,27617603
2023-04-19,53.599998,55.950001,53.200001,54.150002,54.150002,62022927
2023-04-20,54.150002,54.400002,53.650002,54.200001,54.200001,23096046
2023-04-21,54.299999,56.750000,54.099998,56.049999,56.049999,106707937
2023-04-24,55.500000,56.400002,54.700001,56.000000,56.000000,43287483
2023-04-25,56.400002,60.599998,56.200001,57.750000,57.750000,199056106
2023-04-26,58.099998,59.000000,57.099998,58.200001,58.200001,59765915
2023-04-27,58.599998,61.150002,58.349998,60.700001,60.700001,82969101
2023-04-28,60.799999,66.000000,59.549999,64.900002,64.900002,190938290
